Experiment	Sweep	
Date	30.09.2022 15:44:59	
User		
X (m)	0.000000E+0	
Y (m)	0.000000E+0	
Comment01	FWD, plasmons, Vtip = -138. xyz default, #2	

[DATA]
BB Back Bias (V)	Bias (V)	Current (A)	BBX (Hz)	BB Back Bias (V)	Tip Current (A)
89.1500E+0	-138.000E+0	53.4490E-9	4.53667E+3	89.1500E+0	64.2149E-9
89.2000E+0	-138.000E+0	53.4304E-9	3.86000E+3	89.2000E+0	64.1884E-9
89.2500E+0	-138.000E+0	53.3872E-9	4.51333E+3	89.2500E+0	64.1415E-9
89.3000E+0	-138.000E+0	53.3179E-9	4.39667E+3	89.3000E+0	64.0563E-9
89.3500E+0	-138.000E+0	53.5005E-9	3.62333E+3	89.3500E+0	64.2785E-9
89.4000E+0	-138.000E+0	53.4352E-9	4.65333E+3	89.4000E+0	64.1976E-9
89.4500E+0	-138.000E+0	53.3656E-9	4.00000E+3	89.4500E+0	64.1164E-9
89.5000E+0	-138.000E+0	53.4794E-9	4.08667E+3	89.5000E+0	64.2547E-9
89.5500E+0	-138.000E+0	53.4889E-9	4.74667E+3	89.5500E+0	64.2636E-9
89.6000E+0	-138.000E+0	53.4655E-9	3.83333E+3	89.6000E+0	64.2371E-9
89.6500E+0	-138.000E+0	53.4350E-9	4.17000E+3	89.6500E+0	64.1983E-9
89.7000E+0	-138.000E+0	53.4118E-9	3.96667E+3	89.7000E+0	64.1743E-9
89.7500E+0	-138.000E+0	53.4330E-9	3.58333E+3	89.7500E+0	64.1987E-9
89.8000E+0	-138.000E+0	53.3111E-9	4.10000E+3	89.8000E+0	64.0511E-9
89.8500E+0	-138.000E+0	53.5766E-9	4.10000E+3	89.8500E+0	64.3717E-9
89.9000E+0	-138.000E+0	53.5484E-9	4.44667E+3	89.9000E+0	64.3434E-9
89.9500E+0	-138.000E+0	53.5014E-9	4.45333E+3	89.9500E+0	64.2809E-9
90.0000E+0	-138.000E+0	53.4511E-9	3.91000E+3	90.0000E+0	64.2187E-9
90.0500E+0	-138.000E+0	53.3428E-9	4.16000E+3	90.0500E+0	64.0892E-9
90.1000E+0	-138.000E+0	53.3563E-9	3.85000E+3	90.1000E+0	64.1021E-9
90.1500E+0	-138.000E+0	53.3213E-9	4.12000E+3	90.1500E+0	64.0585E-9
90.2000E+0	-138.000E+0	53.4509E-9	3.97667E+3	90.2000E+0	64.2159E-9
90.2500E+0	-138.000E+0	53.4542E-9	4.28333E+3	90.2500E+0	64.2201E-9
90.3000E+0	-138.000E+0	53.4903E-9	4.09667E+3	90.3000E+0	64.2666E-9
90.3500E+0	-138.000E+0	53.4324E-9	4.00667E+3	90.3500E+0	64.1979E-9
90.4000E+0	-138.000E+0	53.4831E-9	4.25000E+3	90.4000E+0	64.2574E-9
90.4500E+0	-138.000E+0	53.3424E-9	3.76667E+3	90.4500E+0	64.0845E-9
90.5000E+0	-138.000E+0	53.4810E-9	4.61667E+3	90.5000E+0	64.2532E-9
90.5500E+0	-138.000E+0	53.4050E-9	3.89667E+3	90.5500E+0	64.1621E-9
90.6000E+0	-138.000E+0	53.3857E-9	4.49333E+3	90.6000E+0	64.1349E-9
90.6500E+0	-138.000E+0	53.4642E-9	4.74667E+3	90.6500E+0	64.2335E-9
90.7000E+0	-138.000E+0	53.4439E-9	4.44333E+3	90.7000E+0	64.2077E-9
90.7500E+0	-138.000E+0	53.4079E-9	4.53333E+3	90.7500E+0	64.1669E-9
90.8000E+0	-138.000E+0	53.4212E-9	4.10333E+3	90.8000E+0	64.1848E-9
90.8500E+0	-138.000E+0	53.3820E-9	4.81000E+3	90.8500E+0	64.1354E-9
90.9000E+0	-138.000E+0	53.4709E-9	4.49000E+3	90.9000E+0	64.2481E-9
90.9500E+0	-138.000E+0	53.3827E-9	5.06667E+3	90.9500E+0	64.1381E-9
91.0000E+0	-138.000E+0	53.5027E-9	4.70333E+3	91.0000E+0	64.2809E-9
91.0500E+0	-138.000E+0	53.3991E-9	5.25000E+3	91.0500E+0	64.1576E-9
91.1000E+0	-138.000E+0	53.4702E-9	4.40000E+3	91.1000E+0	64.2425E-9
91.1500E+0	-138.000E+0	53.5520E-9	4.89667E+3	91.1500E+0	64.3387E-9
91.2000E+0	-138.000E+0	52.8862E-9	4.73000E+3	91.2000E+0	63.5233E-9
91.2500E+0	-138.000E+0	52.8581E-9	4.41333E+3	91.2500E+0	63.4932E-9
91.3000E+0	-138.000E+0	53.5396E-9	5.10333E+3	91.3000E+0	64.3256E-9
91.3500E+0	-138.000E+0	53.3229E-9	4.34000E+3	91.3500E+0	64.0628E-9
91.4000E+0	-138.000E+0	53.5043E-9	3.79333E+3	91.4000E+0	64.2823E-9
91.4500E+0	-138.000E+0	53.3266E-9	4.37667E+3	91.4500E+0	64.0664E-9
91.5000E+0	-138.000E+0	53.4086E-9	4.85667E+3	91.5000E+0	64.1666E-9
91.5500E+0	-138.000E+0	53.4361E-9	4.94000E+3	91.5500E+0	64.1979E-9
91.6000E+0	-138.000E+0	53.3850E-9	5.47000E+3	91.6000E+0	64.1362E-9
91.6500E+0	-138.000E+0	53.4465E-9	4.58667E+3	91.6500E+0	64.2150E-9
