Experiment	Sweep	
Date	30.09.2022 14:45:33	
User		
X (m)	0.000000E+0	
Y (m)	0.000000E+0	
Comment01	FWD, plasmons, Vtip = -134. xyz default	

[DATA]
BB Back Bias (V)	Bias (V)	Current (A)	BBX (Hz)	BB Back Bias (V)	Tip Current (A)
89.1500E+0	-134.000E+0	33.9629E-9	3.50667E+3	89.1500E+0	40.7328E-9
89.2000E+0	-134.000E+0	33.9520E-9	3.46667E+3	89.2000E+0	40.7212E-9
89.2500E+0	-134.000E+0	33.9987E-9	2.91667E+3	89.2500E+0	40.7770E-9
89.3000E+0	-134.000E+0	33.9822E-9	2.48000E+3	89.3000E+0	40.7577E-9
89.3500E+0	-134.000E+0	33.9792E-9	3.23333E+3	89.3500E+0	40.7502E-9
89.4000E+0	-134.000E+0	33.9669E-9	3.12000E+3	89.4000E+0	40.7380E-9
89.4500E+0	-134.000E+0	33.9268E-9	3.58333E+3	89.4500E+0	40.6902E-9
89.5000E+0	-134.000E+0	33.9477E-9	3.43333E+3	89.5000E+0	40.7143E-9
89.5500E+0	-134.000E+0	33.9079E-9	3.34667E+3	89.5500E+0	40.6670E-9
89.6000E+0	-134.000E+0	33.9124E-9	3.33667E+3	89.6000E+0	40.6734E-9
89.6500E+0	-134.000E+0	33.9150E-9	3.61667E+3	89.6500E+0	40.6746E-9
89.7000E+0	-134.000E+0	33.9343E-9	3.74667E+3	89.7000E+0	40.6994E-9
89.7500E+0	-134.000E+0	33.9647E-9	4.37667E+3	89.7500E+0	40.7346E-9
89.8000E+0	-134.000E+0	33.9529E-9	3.46667E+3	89.8000E+0	40.7214E-9
89.8500E+0	-134.000E+0	33.9536E-9	3.79000E+3	89.8500E+0	40.7262E-9
89.9000E+0	-134.000E+0	33.9275E-9	4.01667E+3	89.9000E+0	40.6914E-9
89.9500E+0	-134.000E+0	33.9329E-9	4.24333E+3	89.9500E+0	40.6974E-9
90.0000E+0	-134.000E+0	33.9334E-9	3.52333E+3	90.0000E+0	40.6982E-9
90.0500E+0	-134.000E+0	33.9279E-9	3.62000E+3	90.0500E+0	40.6928E-9
90.1000E+0	-134.000E+0	33.9352E-9	3.49333E+3	90.1000E+0	40.6977E-9
90.1500E+0	-134.000E+0	33.9393E-9	4.41000E+3	90.1500E+0	40.7028E-9
90.2000E+0	-134.000E+0	33.9340E-9	4.77667E+3	90.2000E+0	40.6992E-9
90.2500E+0	-134.000E+0	33.9294E-9	3.98333E+3	90.2500E+0	40.6931E-9
90.3000E+0	-134.000E+0	33.9441E-9	4.43333E+3	90.3000E+0	40.7090E-9
90.3500E+0	-134.000E+0	33.9264E-9	4.51333E+3	90.3500E+0	40.6903E-9
90.4000E+0	-134.000E+0	33.9326E-9	4.44000E+3	90.4000E+0	40.7020E-9
90.4500E+0	-134.000E+0	33.9379E-9	4.67333E+3	90.4500E+0	40.7040E-9
90.5000E+0	-134.000E+0	33.9445E-9	5.33667E+3	90.5000E+0	40.7123E-9
90.5500E+0	-134.000E+0	33.9575E-9	5.10667E+3	90.5500E+0	40.7255E-9
90.6000E+0	-134.000E+0	33.9827E-9	5.17333E+3	90.6000E+0	40.7502E-9
90.6500E+0	-134.000E+0	33.9727E-9	4.31667E+3	90.6500E+0	40.7436E-9
90.7000E+0	-134.000E+0	33.9418E-9	4.18667E+3	90.7000E+0	40.7118E-9
90.7500E+0	-134.000E+0	33.9480E-9	4.29333E+3	90.7500E+0	40.7175E-9
90.8000E+0	-134.000E+0	33.9537E-9	4.34667E+3	90.8000E+0	40.7214E-9
90.8500E+0	-134.000E+0	33.9366E-9	4.94000E+3	90.8500E+0	40.6967E-9
90.9000E+0	-134.000E+0	33.9771E-9	4.93667E+3	90.9000E+0	40.7493E-9
90.9500E+0	-134.000E+0	33.9438E-9	4.95667E+3	90.9500E+0	40.7106E-9
91.0000E+0	-134.000E+0	33.9181E-9	4.90333E+3	91.0000E+0	40.6853E-9
91.0500E+0	-134.000E+0	33.9476E-9	5.30000E+3	91.0500E+0	40.7143E-9
91.1000E+0	-134.000E+0	33.9602E-9	5.74667E+3	91.1000E+0	40.7289E-9
91.1500E+0	-134.000E+0	33.9586E-9	5.48667E+3	91.1500E+0	40.7265E-9
91.2000E+0	-134.000E+0	33.9457E-9	5.77333E+3	91.2000E+0	40.7090E-9
91.2500E+0	-134.000E+0	33.9217E-9	5.57667E+3	91.2500E+0	40.6833E-9
