Experiment	Sweep	
Date	30.09.2022 14:35:03	
User		
X (m)	0.000000E+0	
Y (m)	0.000000E+0	
Comment01	BWD, plasmons, Vtip = -132. xyz default	

[DATA]
BB Back Bias (V)	Bias (V)	Current (A)	BBX (Hz)	BB Back Bias (V)	Tip Current (A)
124.700E+0	-132.000E+0	24.6545E-9	11.1067E+3	124.700E+0	29.6435E-9
124.650E+0	-132.000E+0	24.7299E-9	14.0433E+3	124.650E+0	29.7345E-9
124.600E+0	-132.000E+0	24.7608E-9	17.2833E+3	124.600E+0	29.7759E-9
124.550E+0	-132.000E+0	24.7699E-9	21.4767E+3	124.550E+0	29.7825E-9
124.500E+0	-132.000E+0	24.6752E-9	25.7133E+3	124.500E+0	29.6703E-9
124.450E+0	-132.000E+0	24.6750E-9	30.7400E+3	124.450E+0	29.6718E-9
124.400E+0	-132.000E+0	24.7208E-9	38.3900E+3	124.400E+0	29.7241E-9
124.350E+0	-132.000E+0	24.6607E-9	48.1567E+3	124.350E+0	29.6478E-9
124.300E+0	-132.000E+0	24.7209E-9	53.1800E+3	124.300E+0	29.7270E-9
124.250E+0	-132.000E+0	24.6733E-9	64.6733E+3	124.250E+0	29.6665E-9
124.200E+0	-132.000E+0	24.6619E-9	75.7400E+3	124.200E+0	29.6555E-9
124.150E+0	-132.000E+0	24.7717E-9	91.8033E+3	124.150E+0	29.7836E-9
124.100E+0	-132.000E+0	24.7838E-9	101.470E+3	124.100E+0	29.7986E-9
124.050E+0	-132.000E+0	24.7759E-9	118.760E+3	124.050E+0	29.7907E-9
124.000E+0	-132.000E+0	24.6696E-9	133.023E+3	124.000E+0	29.6613E-9
123.950E+0	-132.000E+0	24.7663E-9	148.820E+3	123.950E+0	29.7737E-9
123.900E+0	-132.000E+0	24.7782E-9	165.850E+3	123.900E+0	29.7930E-9
123.850E+0	-132.000E+0	24.7671E-9	185.550E+3	123.850E+0	29.7796E-9
123.800E+0	-132.000E+0	24.7713E-9	195.030E+3	123.800E+0	29.7793E-9
123.750E+0	-132.000E+0	24.7190E-9	209.673E+3	123.750E+0	29.7177E-9
123.700E+0	-132.000E+0	24.6619E-9	222.440E+3	123.700E+0	29.6525E-9
123.650E+0	-132.000E+0	24.6828E-9	235.553E+3	123.650E+0	29.6820E-9
123.600E+0	-132.000E+0	24.6596E-9	256.083E+3	123.600E+0	29.6477E-9
