Experiment	Sweep	
Date	30.08.2022 14:26:10	
User		
X (m)	0.000000E+0	
Y (m)	0.000000E+0	
Comment01	Vtip=135, BWD, XYZ default	

[DATA]
BB Back Bias (V)	Timestamp (ms)	Bias (V)	Current (A)	BBX (Hz)	BB Back Bias (V)	Tip Current (A)
129.400E+0	6.75368E+6	-135.000E+0	8.79879E-9	3.44500E+3	129.400E+0	9.50273E-9
129.300E+0	6.75406E+6	-135.000E+0	9.49287E-9	4.05000E+3	129.300E+0	10.2498E-9
129.200E+0	6.75447E+6	-135.000E+0	9.59512E-9	7.34500E+3	129.200E+0	10.3585E-9
129.100E+0	6.75489E+6	-135.000E+0	9.40578E-9	7.69000E+3	129.100E+0	10.1539E-9
129.000E+0	6.75524E+6	-135.000E+0	8.56633E-9	7.96500E+3	129.000E+0	9.25153E-9
128.900E+0	6.75566E+6	-135.000E+0	8.67848E-9	9.75500E+3	128.900E+0	9.37167E-9
128.800E+0	6.75605E+6	-135.000E+0	8.87453E-9	10.1400E+3	128.800E+0	9.58176E-9
128.700E+0	6.75648E+6	-135.000E+0	8.12466E-9	11.8050E+3	128.700E+0	8.78210E-9
128.600E+0	6.75685E+6	-135.000E+0	8.69007E-9	11.3650E+3	128.600E+0	9.38428E-9
128.500E+0	6.75725E+6	-135.000E+0	8.57898E-9	12.3200E+3	128.500E+0	9.26562E-9
128.400E+0	6.75765E+6	-135.000E+0	8.80003E-9	11.4150E+3	128.400E+0	9.50329E-9
128.300E+0	6.75807E+6	-135.000E+0	8.56200E-9	12.4950E+3	128.300E+0	9.24799E-9
128.200E+0	6.75846E+6	-135.000E+0	8.30473E-9	13.3750E+3	128.200E+0	8.97325E-9
128.100E+0	6.75886E+6	-135.000E+0	8.42380E-9	12.2050E+3	128.100E+0	9.09944E-9
128.000E+0	6.75925E+6	-135.000E+0	9.71329E-9	12.4750E+3	128.000E+0	10.4855E-9
127.900E+0	6.75967E+6	-135.000E+0	9.32385E-9	13.0450E+3	127.900E+0	10.0678E-9
127.800E+0	6.76007E+6	-135.000E+0	9.01502E-9	11.5550E+3	127.800E+0	9.73614E-9
127.700E+0	6.76044E+6	-135.000E+0	8.40578E-9	11.4200E+3	127.700E+0	9.08032E-9
127.600E+0	6.76086E+6	-135.000E+0	8.56079E-9	10.6150E+3	127.600E+0	9.24585E-9
127.500E+0	6.76125E+6	-135.000E+0	8.08032E-9	8.92000E+3	127.500E+0	8.73279E-9
127.400E+0	6.76166E+6	-135.000E+0	8.41507E-9	8.60500E+3	127.400E+0	9.09183E-9
127.300E+0	6.76207E+6	-135.000E+0	8.51954E-9	8.52500E+3	127.300E+0	9.20178E-9
127.200E+0	6.76250E+6	-135.000E+0	8.80282E-9	7.28000E+3	127.200E+0	9.50386E-9
127.100E+0	6.76286E+6	-135.000E+0	8.57109E-9	5.53000E+3	127.100E+0	9.25617E-9
127.000E+0	6.76326E+6	-135.000E+0	8.80531E-9	4.37000E+3	127.000E+0	9.50882E-9
126.900E+0	6.76366E+6	-135.000E+0	8.20285E-9	2.89000E+3	126.900E+0	8.86645E-9
126.800E+0	6.76407E+6	-135.000E+0	8.80379E-9	2.41000E+3	126.800E+0	9.50712E-9
126.700E+0	6.76447E+6	-135.000E+0	8.39022E-9	1.78500E+3	126.700E+0	9.06692E-9
126.600E+0	6.76489E+6	-135.000E+0	8.65912E-9	1.17000E+3	126.600E+0	9.35117E-9
126.500E+0	6.76527E+6	-135.000E+0	8.84336E-9	1.02500E+3	126.500E+0	9.55096E-9
126.400E+0	6.76566E+6	-135.000E+0	9.63893E-9	815.000E+0	126.400E+0	10.4068E-9
126.300E+0	6.76609E+6	-135.000E+0	9.41133E-9	565.000E+0	126.300E+0	10.1614E-9
126.200E+0	6.76646E+6	-135.000E+0	9.01105E-9	590.000E+0	126.200E+0	9.72959E-9
126.100E+0	6.76687E+6	-135.000E+0	8.51065E-9	565.000E+0	126.100E+0	9.19216E-9
126.000E+0	6.76726E+6	-135.000E+0	9.21403E-9	320.000E+0	126.000E+0	9.95101E-9
125.900E+0	6.76768E+6	-135.000E+0	8.53092E-9	230.000E+0	125.900E+0	9.21507E-9
125.800E+0	6.76806E+6	-135.000E+0	8.98874E-9	630.000E+0	125.800E+0	9.70577E-9
125.700E+0	6.76848E+6	-135.000E+0	8.40178E-9	240.000E+0	125.700E+0	9.07778E-9
125.600E+0	6.76889E+6	-135.000E+0	8.44019E-9	620.000E+0	125.600E+0	9.11778E-9
125.500E+0	6.76928E+6	-135.000E+0	8.58593E-9	140.000E+0	125.500E+0	9.27358E-9
125.400E+0	6.76967E+6	-135.000E+0	8.45974E-9	570.000E+0	125.400E+0	9.13826E-9
125.300E+0	6.77010E+6	-135.000E+0	8.70711E-9	265.000E+0	125.300E+0	9.40136E-9
125.200E+0	6.77046E+6	-135.000E+0	8.63707E-9	540.000E+0	125.200E+0	9.32836E-9
125.100E+0	6.77088E+6	-135.000E+0	8.85047E-9	535.000E+0	125.100E+0	9.55591E-9
125.000E+0	6.77128E+6	-135.000E+0	8.39139E-9	440.000E+0	125.000E+0	9.06544E-9
124.900E+0	6.77167E+6	-135.000E+0	8.76593E-9	435.000E+0	124.900E+0	9.46666E-9
124.800E+0	6.77206E+6	-135.000E+0	8.76905E-9	515.000E+0	124.800E+0	9.47140E-9
124.700E+0	6.77248E+6	-135.000E+0	8.45902E-9	380.000E+0	124.700E+0	9.13882E-9
124.600E+0	6.77287E+6	-135.000E+0	9.19575E-9	700.000E+0	124.600E+0	9.92671E-9
124.500E+0	6.77328E+6	-135.000E+0	9.63003E-9	620.000E+0	124.500E+0	10.3985E-9
