Experiment	Z spectroscopy	
Date	02.05.2018 17:07:33	
User		
X (m)	639.704E-9	
Y (m)	362.349E-9	
Z (m)	-59.122E-9	
Z offset (m)	0E+0	
Z sweep distance (m)	-50E-9	
Settling time (s)	250E-6	
Integration time (s)	1E-3	
Final Z (m)	N/A	
Filter type	None	
Order		
Cutoff frq		
Comment01	Clam 38 eV	

[DATA]
Z rel (m)	Current (A)	Tip Current (A)	Pressure Lisa (V)	Channeltron (Hz)	CLAM  2 (Hz)	Bias (V)	Z (m)	Current [bwd] (A)	Tip Current [bwd] (A)	Pressure Lisa [bwd] (V)	Channeltron [bwd] (Hz)	CLAM  2 [bwd] (Hz)	Bias [bwd] (V)	Z [bwd] (m)
2.30461E-9	-213.789E-9	211.657E-9	3.31387E+0	51.3000E+3	3.90000E+3	-115.000E+0	-56.8174E-9	-230.493E-9	229.315E-9	3.31275E+0	51.1000E+3	4.40000E+3	-115.000E+0	-56.8174E-9
2.40481E-9	-214.178E-9	211.438E-9	3.31381E+0	48.3000E+3	5.70000E+3	-115.000E+0	-56.7172E-9	-230.311E-9	227.492E-9	3.31267E+0	48.5000E+3	3.50000E+3	-115.000E+0	-56.7172E-9
2.50501E-9	-213.322E-9	210.303E-9	3.31412E+0	48.8000E+3	6.00000E+3	-115.000E+0	-56.6170E-9	-229.423E-9	226.762E-9	3.31259E+0	47.3000E+3	4.80000E+3	-115.000E+0	-56.6170E-9
2.60521E-9	-213.227E-9	212.172E-9	3.31441E+0	45.7000E+3	4.00000E+3	-115.000E+0	-56.5168E-9	-229.100E-9	226.568E-9	3.31237E+0	50.5000E+3	4.40000E+3	-115.000E+0	-56.5168E-9
2.70541E-9	-212.748E-9	210.496E-9	3.31452E+0	49.1000E+3	5.60000E+3	-115.000E+0	-56.4166E-9	-229.152E-9	226.767E-9	3.31218E+0	50.0000E+3	4.50000E+3	-115.000E+0	-56.4166E-9
2.80561E-9	-212.498E-9	210.397E-9	3.31495E+0	46.4000E+3	3.00000E+3	-115.000E+0	-56.3164E-9	-228.234E-9	226.682E-9	3.31175E+0	47.7000E+3	6.00000E+3	-115.000E+0	-56.3164E-9
2.90581E-9	-212.902E-9	209.858E-9	3.31485E+0	51.5000E+3	4.40000E+3	-115.000E+0	-56.2162E-9	-227.759E-9	225.434E-9	3.31125E+0	49.1000E+3	6.20000E+3	-115.000E+0	-56.2162E-9
3.00601E-9	-212.157E-9	210.783E-9	3.31492E+0	47.6000E+3	4.70000E+3	-115.000E+0	-56.1160E-9	-227.518E-9	225.223E-9	3.31098E+0	55.2000E+3	4.20000E+3	-115.000E+0	-56.1160E-9
3.10621E-9	-211.526E-9	209.584E-9	3.31533E+0	51.1000E+3	5.00000E+3	-115.000E+0	-56.0158E-9	-226.836E-9	225.888E-9	3.31103E+0	43.7000E+3	6.20000E+3	-115.000E+0	-56.0158E-9
3.20641E-9	-211.275E-9	208.712E-9	3.31497E+0	48.6000E+3	4.00000E+3	-115.000E+0	-55.9156E-9	-226.475E-9	224.205E-9	3.31106E+0	50.1000E+3	4.30000E+3	-115.000E+0	-55.9156E-9
3.30661E-9	-211.260E-9	209.914E-9	3.31464E+0	47.1000E+3	4.30000E+3	-115.000E+0	-55.8154E-9	-226.504E-9	224.053E-9	3.31128E+0	51.7000E+3	5.60000E+3	-115.000E+0	-55.8154E-9
